position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sb,Ba,La,Ce,Pr,Nd,Sm,Tb,Tm,Pt,Au,Pb,S1,S2,S3,D1,D2,W La,W Lb1,W Lb2,W La inel,W Lb1 inel,W Lb2 inel,Mo inc,Mo coh
46,6.01,1,0.018492,-0.011449,0.008608,0.096193,18405.19727,2.65,68,403,35,0,52566,257,695,5651,595,12,61,193,13997,226,141,520,1717,0,131,62,0,0,161,9,1137,9,70,83,0,13,0,43,28,73,0,167,0,35,43,77,0,0,43,211,364,0,0,0,63,0,29,23004,5778
47,5.99,1,0.018492,-0.011449,0.008608,0.096193,19121.33203,1.69,34,870,33,27,17844,307,2215,4589,1961,33,131,330,44430,380,217,923,1478,0,221,291,998,0,436,9,442,38,34,62,0,70,13,19,4,33,25,361,0,39,170,144,0,188,53,118,0,0,0,0,113,27,29,23791,6663
145,5.85,1,0.018492,-0.011449,0.008608,0.096193,26280.25781,1.56,24,848,27,61,300,242,2160,343,2002,119,166,242,56619,198,494,2322,569,0,60,1354,2802,381,3394,0,14,58,33,39,15,155,0,18,0,82,97,411,183,17,69,246,445,246,88,102,0,285,24,73,243,75,140,43037,11891
204,5.88,1,0.018492,-0.011449,0.008608,0.096193,32639.91602,1.64,25,365,46,153,395,195,1853,667,1484,99,383,475,93291,0,344,51204,3378,0,1382,1013,2013,346,1421,9,29,84,34,50,17,179,0,0,30,76,47,374,8,0,97,1209,1753,364,182,98,0,214,38,21,0,0,82,42780,10349
356,6.03,1,0.018492,-0.011449,0.008608,0.096193,24124.26367,1.7,46,922,29,143,178,211,1560,1182,1085,128,107,270,63181,436,332,870,617,0,0,1044,0,135,1367,26,22,56,12,44,11,142,11,0,0,50,204,849,24,38,244,18,0,234,161,112,2474,82,17,8,108,277,34,39128,11067
369,6.02,1,0.018492,-0.011449,0.008608,0.096193,23441.93164,1.9,11,1012,34,263,169,228,2173,1932,1501,80,91,316,59257,121,272,860,938,0,53,1102,0,0,1930,35,31,69,32,59,44,110,22,34,18,47,102,324,77,0,178,102,652,326,107,28,2273,416,0,0,247,123,0,36990,10559
393,6.09,1,0.018492,-0.011449,0.008608,0.096193,24895.56836,1.6,10,932,15,394,162,164,1584,1318,1827,76,166,233,78499,344,253,546,431,0,77,994,0,212,8034,34,0,69,36,40,30,95,0,32,8,34,122,485,14,33,168,191,451,223,112,236,2305,802,0,106,311,161,214,34419,10234
403,6.1,1,0.018492,-0.011449,0.008608,0.096193,22081.99805,1.53,30,1091,35,161,136,219,1441,790,1406,146,166,175,52706,0,356,372,426,235,0,938,0,43,6124,0,0,42,8,23,6,57,0,31,14,12,88,298,28,121,200,45,806,235,17,0,1985,418,311,161,54,261,462,34256,10011
407,6.13,1,0.018492,-0.011449,0.008608,0.096193,23050.97266,1.52,12,1133,29,83,143,238,1595,606,1976,31,112,171,46106,197,377,379,379,219,193,855,0,201,3850,12,27,57,20,35,26,99,10,40,21,11,33,375,133,56,165,0,204,69,138,65,2334,161,67,22,127,313,80,39015,10932
629,5.9,1,0.018492,-0.011449,0.008608,0.096193,26020.39648,1.52,66,915,39,0,145,257,2113,495,2106,39,125,1681,59664,166,390,2839,1729,38,0,1195,0,261,3408,24,27,44,21,81,11,107,41,27,0,42,131,257,111,0,0,393,682,185,133,0,2495,265,96,133,252,52,27,42383,11382
865,5.84,1,0.018492,-0.011449,0.008608,0.096193,31488.10547,1.52,31,420,51,91,181,208,2219,889,2342,70,512,2467,94127,0,388,29243,4599,0,1197,1368,1736,265,2094,29,44,92,31,78,45,189,0,46,87,34,19,279,11,0,0,1893,1349,270,339,88,0,33,123,0,0,87,0,40895,10545
911,5.92,1,0.018492,-0.011449,0.008608,0.096193,31180.91797,1.03,0,316,29,81,147,187,1922,735,2130,101,263,3713,108242,0,372,12715,2293,215,382,1495,1687,352,1696,0,0,74,0,115,25,342,5,18,29,33,64,357,53,0,50,874,1444,453,257,452,20,45,0,19,155,103,61,42462,10698
912,5.92,1,0.018492,-0.011449,0.008608,0.096193,32332.92188,1.02,6,382,34,91,149,199,1938,854,1953,56,360,3364,118175,0,306,15527,2342,189,457,1339,1144,346,1737,0,0,40,0,145,0,310,0,52,12,28,53,426,127,0,134,1077,1960,379,361,650,650,115,0,0,228,0,89,42045,10674
913,5.93,1,0.018492,-0.011449,0.008608,0.096193,32164.39258,0.96,0,353,8,52,122,158,1921,712,2029,70,365,2251,117861,108,405,15482,2376,139,327,1344,1623,352,1525,0,14,60,0,145,0,305,22,0,0,27,130,306,137,0,152,1213,1316,381,241,355,0,46,0,0,243,61,14,43260,10532
914,5.93,1,0.018492,-0.011449,0.008608,0.096193,31522.50195,1.11,21,415,39,17,167,244,1933,637,2200,107,340,1955,108795,0,284,14709,2119,124,332,1477,2077,220,1657,9,32,35,24,174,27,180,0,43,31,33,108,417,110,0,13,1170,1472,354,281,371,0,49,205,0,305,81,0,43269,11067
915,5.92,1,0.018492,-0.011449,0.008608,0.096193,31775.3418,1.04,60,476,49,0,125,150,1936,685,2331,85,405,2131,113243,10,431,14153,1976,25,1294,1392,1260,327,1799,9,41,60,51,90,11,282,0,13,15,23,97,288,87,0,58,1188,1548,449,234,425,450,204,0,0,9,87,61,42698,10961
916,5.92,1,0.018492,-0.011449,0.008608,0.096193,31854.75977,1.04,0,384,0,20,123,218,1931,744,2269,69,399,2151,112241,172,432,14957,1722,131,444,1275,2156,398,1424,30,11,53,20,150,25,223,0,34,44,64,66,314,165,0,78,1322,1257,373,326,244,0,177,0,0,0,67,123,42755,10824
917,5.93,1,0.018492,-0.011449,0.008608,0.096193,31331.35547,1.18,0,313,31,74,176,198,1828,736,2174,91,366,2179,108409,55,342,15579,1715,0,415,1270,1307,232,1694,11,0,74,0,162,15,146,15,53,33,34,47,173,174,0,0,1266,1505,336,285,412,80,22,0,0,254,45,51,42905,10822
918,5.93,1,0.018492,-0.011449,0.008608,0.096193,30535.51563,1.13,0,282,27,11,142,200,1907,623,2198,79,412,2484,102132,0,451,13317,1578,0,455,1391,1459,426,1726,11,38,41,11,142,10,242,15,12,0,45,89,401,62,0,290,1239,1671,444,216,240,0,246,0,0,43,92,372,42425,10841
919,5.93,1,0.018492,-0.011449,0.008608,0.096193,30775.37305,0.93,0,290,10,0,168,164,1884,657,2172,92,387,1795,107069,271,472,13926,1655,258,346,1183,832,351,1756,20,26,85,12,137,5,248,20,0,32,64,88,297,135,0,108,965,1156,361,348,327,584,110,0,29,139,104,196,41921,10723
920,5.93,1,0.018492,-0.011449,0.008608,0.096193,30125.79688,0.99,25,254,34,100,159,188,1874,669,2321,56,308,1794,102002,63,418,13145,1613,0,452,1596,1628,348,1569,12,0,57,0,135,0,152,0,0,64,37,55,268,28,0,0,1125,1402,276,241,214,0,136,89,30,170,174,89,42089,10593
